Manipulated input,noise_level,step,K_11,K_12,K_21,K_22,tau_1,tau_2,tau_3,tau_4,delta_y_1,delta_y_2,delta_u_1,delta_u_2
0.0,0.0,0.1,0.12583175883196107,0.0,0.14681315851104385,0.0,107.0,182.0,0.0,69.0,3.1457939707576443,3.6703289626969493,25.0,32.5
0.0,0.0,0.25,0.12840106475612142,0.0,0.1506501041516644,0.0,110.0,189.0,0.0,72.0,8.02506654721622,9.415631509399887,62.5,81.25
0.0,0.0,0.5,0.13268257756397245,0.0,0.15704163861311518,0.0,115.0,201.0,0.0,79.0,16.585322195455184,19.630204826560252,125.0,162.5
0.0,0.01,0.1,0.12616942161980255,0.0,0.146740505154509,0.0,90.0,176.0,0.0,58.0,3.1538936538222018,3.6684773962976465,25.0,32.5
0.0,0.01,0.25,0.1285669748991396,0.0,0.15065302874573525,0.0,109.0,190.0,0.0,69.0,8.041132697421084,9.411562448667226,62.5,81.25
0.0,0.01,0.5,0.1325712321567646,0.0,0.1570571064418936,0.0,115.0,200.0,0.0,78.0,16.576028585195104,19.648390912552095,125.0,162.5
0.0,0.1,0.1,0.12395501534652373,0.0,0.1465304551488708,0.0,73.0,132.0,0.0,34.0,3.100275661564133,3.6618611544070063,25.0,32.5
0.0,0.1,0.25,0.12870446048379255,0.0,0.15084985063474607,0.0,95.0,175.0,0.0,58.0,7.961955432020282,9.42644165227614,62.5,81.25
0.0,0.1,0.5,0.13277191802993013,0.0,0.1570706372631157,0.0,106.0,192.0,0.0,72.0,16.604672243214488,19.63527099079372,125.0,162.5
0.0,0.5,0.1,0.1261799270784613,0.0,0.14988401838771356,0.0,0.0,74.0,0.0,0.0,3.1986197191359977,3.7380292721152273,25.0,32.5
0.0,0.5,0.25,0.12748481296111064,0.0,0.1520757886742268,0.0,75.0,156.0,0.0,51.0,7.9607560902123495,9.483038899355122,62.5,81.25
0.0,0.5,0.5,0.13282270561569917,0.0,0.15733909760880696,0.0,90.0,195.0,0.0,67.0,16.60296454039983,19.679307615991455,125.0,162.5
1.0,0.0,0.1,0.0,0.16944531607247154,0.0,0.10667290762249884,200.0,102.0,79.0,0.0,5.506972772313944,3.4668694976520626,25.0,32.5
1.0,0.0,0.25,0.0,0.1753766156874723,0.0,0.10931223261403397,210.0,105.0,85.0,0.0,14.249350024565736,8.881618899811116,62.5,81.25
1.0,0.0,0.5,0.0,0.18524580446559766,0.0,0.11371051511053057,227.0,111.0,93.0,0.0,30.102443225618238,18.477958705382058,125.0,162.5
1.0,0.01,0.1,0.0,0.1693449224421633,0.0,0.10671857444970896,197.0,98.0,81.0,0.0,5.5194340499866215,3.4709992965241128,25.0,32.5
1.0,0.01,0.25,0.0,0.17544901727946688,0.0,0.10938868957857449,210.0,106.0,84.0,0.0,14.257776286730866,8.894548447671596,62.5,81.25
1.0,0.01,0.5,0.0,0.18530937423277957,0.0,0.11370052992152427,226.0,112.0,91.0,0.0,30.109729470529338,18.46631255926468,125.0,162.5
1.0,0.1,0.1,0.0,0.16924744065777167,0.0,0.10613363270223068,169.0,76.0,52.0,0.0,5.483894742878228,3.4232091247103895,25.0,32.5
1.0,0.1,0.25,0.0,0.17565646370501092,0.0,0.10938676176946707,201.0,94.0,82.0,0.0,14.237516023537616,8.891814342543483,62.5,81.25
1.0,0.1,0.5,0.0,0.18524747483539897,0.0,0.1138019251889262,225.0,113.0,95.0,0.0,30.053095796531927,18.521905057601586,125.0,162.5
1.0,0.5,0.1,0.0,0.16624969848433815,0.0,0.10515590580472388,102.0,0.0,45.0,0.0,5.459227887491082,3.3728507401508594,25.0,32.5
1.0,0.5,0.25,0.0,0.17570617092116364,0.0,0.10784052854147907,187.0,86.0,59.0,0.0,14.271667775005241,8.760374901304182,62.5,81.25
1.0,0.5,0.5,0.0,0.18537145390148194,0.0,0.1136487816052601,212.0,94.0,86.0,0.0,30.064524245892407,18.53723320116302,125.0,162.5
