Manipulated input,noise_level,step,K_11,K_12,K_21,K_22,tau_1,tau_2,tau_3,tau_4,delta_y_1,delta_y_2,delta_u_1,delta_u_2
0.0,0.0,0.1,0.12583175883196107,0.0,0.14681315851104385,0.0,107.0,182.0,0.0,69.0,3.1457939707576443,3.6703289626969493,25.0,32.5
0.0,0.0,0.25,0.12840106475612142,0.0,0.1506501041516644,0.0,110.0,189.0,0.0,72.0,8.02506654721622,9.415631509399887,62.5,81.25
0.0,0.0,0.5,0.13268257756397245,0.0,0.15704163861311518,0.0,115.0,201.0,0.0,79.0,16.585322195455184,19.630204826560252,125.0,162.5
0.0,0.01,0.1,0.12563146490271512,0.0,0.14709913128561913,0.0,88.0,169.0,0.0,60.0,3.1354917601459533,3.680525370477021,25.0,32.5
0.0,0.01,0.25,0.12850764540435874,0.0,0.15064247372673797,0.0,104.0,186.0,0.0,69.0,8.035096289469443,9.41440874608859,62.5,81.25
0.0,0.01,0.5,0.13272394413920066,0.0,0.15702383465504804,0.0,114.0,199.0,0.0,79.0,16.58708434982048,19.64059979771013,125.0,162.5
0.0,0.1,0.1,0.12664792960864846,0.0,0.14664434170932256,0.0,79.0,141.0,0.0,48.0,3.1856350068699726,3.697176410362559,25.0,32.5
0.0,0.1,0.25,0.12867592091631253,0.0,0.15041343846329064,0.0,101.0,173.0,0.0,71.0,8.077279559335977,9.394498829554315,62.5,81.25
0.0,0.1,0.5,0.13262662767289,0.0,0.1569351011152577,0.0,115.0,194.0,0.0,68.0,16.570622254193424,19.655064615679947,125.0,162.5
0.0,0.5,0.1,0.12473848544416624,0.0,0.1457203717061636,0.0,0.0,71.0,0.0,0.0,3.1332469072178313,3.7745408275413226,25.0,32.5
0.0,0.5,0.25,0.12948769275428892,0.0,0.150082571743003,0.0,85.0,124.0,0.0,50.0,8.092055959916252,9.356553493759769,62.5,81.25
0.0,0.5,0.5,0.13346923792567708,0.0,0.15698377324073268,0.0,88.0,189.0,0.0,67.0,16.6544261769036,19.64402387699009,125.0,162.5
1.0,0.0,0.1,0.0,0.16944531607247154,0.0,0.10667290762249884,200.0,102.0,79.0,0.0,5.506972772313944,3.4668694976520626,25.0,32.5
1.0,0.0,0.25,0.0,0.1753766156874723,0.0,0.10931223261403397,210.0,105.0,85.0,0.0,14.249350024565736,8.881618899811116,62.5,81.25
1.0,0.0,0.5,0.0,0.18524580446559766,0.0,0.11371051511053057,227.0,111.0,93.0,0.0,30.102443225618238,18.477958705382058,125.0,162.5
1.0,0.01,0.1,0.0,0.16942616007349676,0.0,0.10642227191887442,199.0,89.0,72.0,0.0,5.521339491277267,3.4580278055323816,25.0,32.5
1.0,0.01,0.25,0.0,0.17543626748355756,0.0,0.10940219980260765,209.0,105.0,83.0,0.0,14.245013852274411,8.881421552018693,62.5,81.25
1.0,0.01,0.5,0.0,0.1851856150024472,0.0,0.11366087474850338,226.0,110.0,94.0,0.0,30.089321158589904,18.474101556692943,125.0,162.5
1.0,0.1,0.1,0.0,0.16934887407003663,0.0,0.10648213152816406,179.0,84.0,66.0,0.0,5.492181106230625,3.4575351506644836,25.0,32.5
1.0,0.1,0.25,0.0,0.1757289579216131,0.0,0.10865865063151713,204.0,97.0,73.0,0.0,14.284458780525348,8.807099570720418,62.5,81.25
1.0,0.1,0.5,0.0,0.18521465247813917,0.0,0.11381385416710099,220.0,111.0,88.0,0.0,30.072505399095007,18.53078042051216,125.0,162.5
1.0,0.5,0.1,0.0,0.16674017462734805,0.0,0.11019460012585372,159.0,0.0,32.0,0.0,5.3601373562961285,3.5623741833002356,25.0,32.5
1.0,0.5,0.25,0.0,0.17412725590459227,0.0,0.10897810883243189,185.0,61.0,67.0,0.0,14.140704356524552,8.844651566369848,62.5,81.25
1.0,0.5,0.5,0.0,0.18569193578778226,0.0,0.11395736736085582,219.0,103.0,89.0,0.0,30.19093921607653,18.501096917502267,125.0,162.5
